Date, Open, High, Low, Close, Volume
05/03/24, 372.25, 372.25, 370.75, 371.00, 75
05/02/24, 372.00, 372.00, 370.75, 371.00, 13
04/30/24, 370.75, 373.00, 370.75, 371.00, 10524
04/29/24, 367.00, 370.75, 360.25, 367.00, 23016
04/26/24, 367.00, 371.50, 367.00, 367.25, 123
04/25/24, 371.75, 371.75, 367.00, 370.00, 60
04/24/24, 360.00, 371.00, 360.00, 370.00, 5104
04/22/24, 360.00, 364.75, 360.00, 360.00, 8543
04/19/24, 364.75, 369.75, 360.00, 365.00, 1965
04/18/24, 355.00, 365.00, 355.00, 360.00, 1002
04/16/24, 360.00, 360.00, 360.00, 360.00, 102
04/15/24, 360.00, 379.50, 356.00, 359.50, 101
04/10/24, 360.00, 360.00, 360.00, 363.75, 50
04/08/24, 360.00, 379.75, 359.50, 363.75, 1566
04/05/24, 360.00, 360.00, 356.00, 358.25, 157
04/04/24, 365.00, 365.00, 365.00, 359.75, 30
04/03/24, 369.50, 375.00, 369.50, 359.75, 81
04/02/24, 370.00, 370.00, 357.00, 359.75, 1080
04/01/24, 363.00, 365.00, 363.00, 360.00, 4
03/28/24, 359.75, 365.00, 356.00, 360.00, 6873
03/27/24, 359.75, 359.75, 359.75, 360.00, 6
03/25/24, 360.00, 360.00, 360.00, 360.00, 2237
03/22/24, 359.75, 360.00, 359.75, 360.00, 11
03/21/24, 360.00, 360.00, 360.00, 360.00, 8000
03/20/24, 357.00, 357.00, 356.00, 359.75, 15
03/19/24, 359.25, 360.00, 359.25, 359.75, 405
03/18/24, 355.00, 360.00, 355.00, 360.00, 20
03/15/24, 360.00, 360.00, 356.00, 360.00, 60
03/14/24, 360.00, 364.00, 360.00, 360.00, 3249
03/13/24, 352.25, 360.00, 352.25, 355.75, 284
03/12/24, 353.75, 355.00, 353.00, 353.75, 116
03/11/24, 350.00, 354.00, 340.00, 343.50, 220
03/07/24, 349.50, 360.00, 349.50, 350.50, 123
03/06/24, 349.50, 349.50, 335.25, 341.50, 822
03/05/24, 349.25, 349.25, 340.00, 340.00, 1729
03/04/24, 340.00, 349.25, 340.00, 340.00, 5005
03/01/24, 350.00, 350.00, 348.00, 348.00, 110
02/29/24, 330.00, 349.75, 330.00, 330.75, 678
02/28/24, 340.00, 350.00, 340.00, 349.75, 3396
02/27/24, 333.00, 340.00, 330.00, 340.00, 9814
02/26/24, 338.00, 339.00, 335.00, 336.00, 159
02/22/24, 338.00, 339.75, 338.00, 339.00, 575
02/21/24, 333.00, 340.00, 333.00, 337.00, 1027
02/20/24, 333.00, 333.00, 333.00, 333.00, 629
02/19/24, 344.00, 344.25, 344.00, 332.00, 58
02/16/24, 344.75, 344.75, 344.50, 332.00, 3
02/15/24, 342.00, 344.50, 332.00, 332.00, 244578
02/14/24, 333.25, 335.00, 332.00, 332.25, 13960
02/13/24, 334.00, 334.00, 334.00, 333.25, 2
02/12/24, 345.00, 345.00, 333.00, 333.25, 10004
02/09/24, 332.50, 348.50, 332.50, 330.75, 26
02/08/24, 335.00, 335.00, 335.00, 330.75, 20
02/07/24, 330.50, 335.00, 330.50, 330.75, 4428
02/06/24, 330.00, 335.00, 330.00, 333.25, 279
02/02/24, 331.00, 331.00, 330.00, 330.25, 385
02/01/24, 330.50, 335.00, 330.50, 330.25, 29
01/31/24, 350.00, 350.00, 330.00, 330.25, 311
01/30/24, 340.00, 352.00, 330.00, 330.00, 18362
01/29/24, 335.00, 335.00, 335.00, 330.00, 12
01/26/24, 331.00, 331.00, 330.00, 330.00, 10133
01/24/24, 330.00, 330.00, 329.00, 330.00, 5350
01/23/24, 334.00, 335.00, 330.00, 330.00, 3000
01/22/24, 335.00, 335.00, 334.00, 335.00, 1142
01/18/24, 340.00, 340.00, 340.00, 340.00, 104
01/17/24, 340.00, 341.00, 340.00, 340.50, 29
01/16/24, 344.75, 344.75, 344.75, 340.50, 10
01/12/24, 345.00, 345.00, 340.00, 340.50, 530
01/11/24, 340.00, 345.00, 340.00, 339.50, 75
01/09/24, 339.50, 349.75, 339.50, 339.50, 16
01/08/24, 340.00, 340.00, 339.50, 339.50, 1242
01/05/24, 340.00, 340.00, 340.00, 330.25, 54
01/04/24, 340.00, 340.00, 340.00, 330.25, 11
01/03/24, 340.00, 340.00, 323.50, 330.25, 2109
01/02/24, 339.00, 340.00, 338.00, 338.50, 49
12/29/23, 339.00, 339.00, 338.50, 338.50, 240
12/28/23, 345.00, 345.00, 338.00, 338.50, 1522
12/27/23, 340.00, 345.00, 340.00, 345.00, 6
12/22/23, 345.00, 345.00, 335.00, 345.00, 1000059
12/21/23, 345.00, 345.00, 344.75, 345.00, 1781082
12/20/23, 345.00, 345.00, 345.00, 345.00, 265
12/19/23, 350.00, 350.00, 345.00, 345.00, 147
12/15/23, 359.75, 359.75, 350.00, 345.50, 91
12/14/23, 350.00, 350.00, 350.00, 345.50, 3
12/13/23, 345.00, 350.00, 345.00, 345.50, 222
12/12/23, 360.00, 360.00, 344.25, 350.00, 3338
12/11/23, 360.00, 360.00, 359.00, 359.75, 10620
12/08/23, 360.00, 362.00, 359.25, 362.00, 100925
12/07/23, 361.00, 361.00, 360.00, 360.00, 36
12/06/23, 361.00, 362.50, 360.00, 360.00, 3236
12/05/23, 365.00, 365.00, 360.00, 360.00, 63583
12/04/23, 360.00, 362.00, 360.00, 360.00, 37
12/01/23, 362.00, 362.00, 360.00, 360.00, 25002
11/30/23, 362.00, 362.00, 360.25, 364.00, 54
11/29/23, 364.00, 364.00, 356.50, 364.00, 291
11/28/23, 362.25, 365.00, 360.00, 362.00, 104442
11/27/23, 375.00, 375.00, 369.00, 369.75, 228
11/24/23, 377.00, 377.00, 360.00, 361.00, 1012
11/23/23, 369.50, 370.00, 369.50, 365.50, 4
11/22/23, 369.75, 370.00, 365.50, 365.50, 367
11/21/23, 370.00, 370.00, 365.00, 370.00, 150057
11/20/23, 365.50, 365.50, 360.00, 360.25, 4700
11/17/23, 391.50, 391.50, 370.00, 379.25, 59
11/16/23, 375.00, 375.00, 375.00, 379.25, 80
11/15/23, 380.00, 380.00, 373.25, 379.25, 124
11/14/23, 375.00, 375.00, 375.00, 375.00, 193
11/13/23, 374.25, 375.00, 374.25, 374.00, 90
11/10/23, 374.25, 374.25, 370.75, 374.00, 8
11/09/23, 374.00, 374.50, 373.50, 374.00, 152
11/08/23, 370.00, 370.00, 362.75, 370.00, 621
11/07/23, 370.00, 375.25, 370.00, 375.00, 187693
11/06/23, 375.00, 375.00, 374.75, 374.75, 628
11/03/23, 375.00, 378.50, 373.50, 375.00, 9888
11/02/23, 380.00, 383.75, 372.50, 375.00, 5353
11/01/23, 389.00, 389.00, 371.00, 371.50, 331
10/31/23, 390.00, 390.00, 389.25, 390.25, 62
10/30/23, 395.00, 395.00, 390.00, 390.25, 176
10/27/23, 388.00, 395.00, 388.00, 390.00, 20
10/25/23, 395.00, 395.00, 395.00, 390.00, 19
10/24/23, 390.00, 390.00, 388.00, 390.00, 15287
10/23/23, 386.00, 390.00, 381.25, 390.00, 3628
10/20/23, 389.75, 390.25, 388.00, 389.75, 620
10/19/23, 395.00, 395.00, 388.00, 388.00, 1014
10/18/23, 400.00, 400.00, 390.25, 397.00, 15860
